,NCBI Tax ID,category,scientific_name,common_names
466,182415,Vegetable,Ostericum grosseserratum,None
467,174226,Miscellaneous,Lysichiton camtschatcensis,None
468,141467,Vegetable-Leaf,Calotropis procera,None
469,100506,"Vegetable-Root, Herbs and Spices",Ophiopogon japonicus,None
470,43166,Fruit,Citrus aurantium,bitter orange; seville orange; sour orange
471,43168,Miscellaneous,Koelreuteria paniculata,golden rain tree; pride of india
472,100514,Fruit,Asparagus cochinchinensis,chinese asparagus; chinese asparagu; tiang dong
473,43171,Miscellaneous,Linaria vulgaris,common toadflax
474,75943,Vegetable,Lactuca serriola,compass plant; prickly lettuce
475,100521,Miscellaneous,Liriope spicata,None
476,75953,Vegetable,Lactuca indica,indian lettuce
477,198836,Miscellaneous,Cyclanthera pedata,None
478,288950,Flower,Dianthus superbus,None
479,452790,Herbs and Spices,Ruta chalepensis,None
480,1050817,Miscellaneous,Acacia retinodes,wirilda
481,67778,Miscellaneous,Picea jezoensis,yeddo spruce; hondo spruce
482,223430,Miscellaneous,Aquilegia formosa,None
483,198859,Miscellaneous,Indigofera arrecta,None
484,354507,Miscellaneous,Orixa japonica,None
485,354510,Miscellaneous,Phellodendron lavallei,None
486,354518,Miscellaneous,Skimmia laureola,None
487,354526,Herbs and Spices,Zanthoxylum americanum,toothache tree; northern prickly ash
488,43233,Miscellaneous,Elaeagnus umbellata,autumn olife; autumn olive; aki gumi
489,264418,Miscellaneous,Hesperis matronalis,None
490,354529,Herbs and Spices,Zanthoxylum piperitum,japanese pepper; san sho; san shoe
491,354530,Herbs and Spices,Zanthoxylum schinifolium,sichuan pepper; qing hua jiao
492,231663,Miscellaneous,Clematis terniflora,sennin so; sweet autumn clemati; sweet autumn clematis
493,76025,"Vegetable-Leaf, Herbs and Spices",Fallopia multiflora,he shou wu; fo ti; chinese knotweed
494,231674,Miscellaneous,Pulsatilla cernua,None
495,231680,Miscellaneous,Equisetum fluviatile,river horsetail
496,198914,Plant Derivative,Indigofera tinctoria,None
497,76036,Vegetable,Fallopia sachalinensis,None
498,148627,Miscellaneous,Swertia bimaculata,None
499,338184,Miscellaneous,Nopalea cochenillifera,cochineal cactus; cochineal cactu
500,59680,Plant Derivative,Styrax japonicus,japanese snowbell
501,362788,Legume,Senna tora,None
502,51492,Plant Derivative,Tulbaghia violacea,None
503,354624,Miscellaneous,Quercus coccinea,scarlet oak
504,92480,Miscellaneous,Sphenostylis stenocarpa,african yam bean
505,43335,Miscellaneous,Populus alba,silver leaf poplar; gin doro; xin bai yang; white poplar; abele
506,67918,Vegetable,Toona ciliata,None
507,379215,Fruit,Carpobrotus edulis,None
508,108881,Miscellaneous,Theobroma grandiflorum,None
509,190804,Vegetable,Corynandra viscosa,tickweed; tabaquillo
510,371028,Miscellaneous,Persicaria perfoliata,mile a minute vine; mile a minute weed
511,76119,Vegetable,Angelica polymorpha,None
512,264540,Miscellaneous,Arracacia xanthorrhiza,arracacha
513,485725,Miscellaneous,Sesbania bispinosa,dadon; prickly sesban; katsakatsa
514,43364,Nuts & Seeds,Aesculus hippocastanum,common horse chestnut; european horse chestnut
515,403832,Flower,Caragana sinica,None
516,55843,Herbs and Spices,Tagetes patula,french marigold
517,1476995,Vegetable-Bulb,Allium ascalonicum,None
518,240005,Herbs and Spices,Achyranthes aspera,None
519,240028,Miscellaneous,Atriplex halimus,mediterranean saltbush; sea orache; sea orach
520,190884,Herbs and Spices,Iberis amara,rocket candytuft; teraspic; gruetzblume; bitter candytuft
521,153544,Plant Derivative,Styrax officinalis,storax
522,240045,Miscellaneous,Dysphania botrys,None
523,330163,Vegetable-Leaf,Dysphania ambrosioides,epazote; american wormseed; jerusalem tea
524,190902,Herbs and Spices,Mentha aquatica,water mint; lemon mint; bergamot mint
525,330167,Vegetable-Root,Dioscorea villosa,None
526,207296,Miscellaneous,Bambusa bambos,giant thorny bamboo
527,272846,Herbs and Spices,Asparagus racemosus,None
528,174553,Miscellaneous,Polygala vulgaris,common milkwort
529,453088,Miscellaneous,Santalum spicatum,None
530,76276,Vegetable,Senecio vulgaris,old man in the spring
531,322040,Miscellaneous,Aesculus flava,sweet buckeye; yellow buckeye
532,256504,Miscellaneous,Symphytum tuberosum,tuberous comfrey
533,281083,Vegetable-Stem,Phyllostachys nigra,black bamboo
534,43522,Fruit,Morinda citrifolia,indian mulberry; awl tree
535,297478,Miscellaneous,Onopordum illyricum,None
536,387592,Miscellaneous,Chimonobambusa quadrangularis,None
537,223753,Miscellaneous,Aquilaria malaccensis,None
538,109069,Miscellaneous,Alnus rubra,None
539,158220,Miscellaneous,Anthemis cotula,None
540,43545,Miscellaneous,Pentadiplandra brazzeana,None
541,1632797,Miscellaneous,Melilotus elegans,None
542,1632804,Miscellaneous,Melilotus wolgicus,None
543,153476,Fruit,Vitis thunbergii,None
544,199225,Vegetable-Root,Pinellia ternata,None
545,174649,Vegetable,Rumex crispus,None
546,420411,Miscellaneous,Acacia saligna,None
547,174650,Vegetable-Leaf,Rumex hastatus,None
548,174651,Vegetable,Rumex japonicus,None
549,174652,Miscellaneous,Rumex nepalensis,None
550,313927,Vegetable,Carpesium divaricatum,None
551,59982,Miscellaneous,Myrsine africana,None
552,191066,Fruit,Empetrum nigrum,black crowberry; curlew berry; crakeberry
553,1403484,Miscellaneous,Coprosma rotundifolia,None
554,191068,Vegetable,Lysimachia vulgaris,willowweed
555,690795,Miscellaneous,Polygala japonica,None
556,109171,Miscellaneous,Pachyrhizus erosus,potato bean; yam bean; jicama
557,223868,Miscellaneous,Artemisia japonica,ryuno giku
558,223870,Herbs and Spices,Artemisia princeps,japanese mugwort; yomogi
559,182917,Herbs and Spices,Oplopanax horridus,None
560,690825,Miscellaneous,Polygala sibirica,None
561,338571,Vegetable-Leaf,Amaranthus blitum,None
562,77063,Miscellaneous,Salix fragilis,brittle willow
563,125586,Miscellaneous,Koenigia alpina,None
564,371345,Herbs and Spices,Ferula foetida,None
565,2708,Fruit,Citrus limon,lemon
566,371349,Herbs and Spices,Ferula gummosa,None
567,2711,Fruit,Citrus sinensis,apfelsine; naranja; navel orange; valencia orange; sweet orange
568,101013,Miscellaneous,Fragaria orientalis,None
569,477853,Miscellaneous,Eryngium creticum,None
570,387750,Cereal,Sasa senanensis,None
571,109224,Miscellaneous,Neustanthus phaseoloides,tropical kudzu
572,43691,Miscellaneous,Canarium ovatum,None
573,60087,Vegetable,Paederia foetida,None
574,248511,Miscellaneous,Dalea purpurea,dalea purpurea Vent.
575,308281,Miscellaneous,Diplotaxis harra,None
576,166594,Herbs and Spices,Fraxinus angustifolia,None
577,191181,Miscellaneous,Encelia farinosa,None
578,43725,Plant Derivative,Quassia amara,quassia
579,43729,Miscellaneous,Simarouba glauca,dysentery bark; aceituno
580,92906,Miscellaneous,Carduus nutans,nodding thistle
581,51953,Plant Derivative,Elaeis guineensis,african oil palm
582,92915,Flower,Onopordum acanthium,None
583,191224,Miscellaneous,Cistus creticus,None
584,92921,Herbs and Spices,Silybum marianum,milk thistle; holy thistle; lady's thistle
585,510730,Miscellaneous,Crataegus meyeri,None
586,510735,Fruit,Crataegus pinnatifida,chinese hawthorn; shan zha
587,33127,Herbs and Spices,Parietaria judaica,None
588,33128,Nuts & Seeds,Papaver rhoeas,field poppy; flanders poppy
589,35608,Herbs and Spices,Artemisia annua,sweet Anny; sweet Annie; sweet wormwood
590,318068,Herbs and Spices,Xanthium strumarium,cocklebur
591,224035,Miscellaneous,Daphne oleoides,olive daphne
592,35625,Miscellaneous,Datura metel,hindu datura
593,240453,Fruit,Pandanus odoratissimus,None
594,43851,Herbs and Spices,Schinus molle,None
595,158541,Miscellaneous,Aristolochia debilis,ma dou ling; tian xian teng
596,43861,Miscellaneous,Spondias dulcis,golden apple; polynesian plum; ambarella; otaheite apple; yellow plum; wi tree
597,43879,Plant Derivative,Peganum harmala,None
598,1117032,Miscellaneous,Galium spurium,None
599,346999,Vegetable,Senna siamea,None
600,35706,Miscellaneous,Phyllostachys bambusoides,timber bamboo
601,174970,Fruit,Uvaria chamae,finger root
602,35708,Miscellaneous,Arundo donax,giant reed
603,289672,Plant Derivative,Erythroxylum coca,hayo; coca
604,134033,Miscellaneous,Castanea dentata,american chestnut
605,224149,Miscellaneous,Salicornia fruticosa,None
606,592793,Miscellaneous,Eucalyptus caesia,silver prince; silver princes; gungunnu; silver princess
607,650144,Miscellaneous,Juniperus recurva,None
608,576424,Miscellaneous,Cirsium setosum,None
609,469930,Nuts & Seeds,Garcinia kola,None
610,35938,Flower,Robinia pseudoacacia,black locust
611,68527,Fruit,Aegle marmelos,indian baelfruit; bael
612,183220,"Plant, Flower",Abelmoschus manihot,mbele; aibika; sunset hibiscus; sunset hibiscu
613,68535,Fruit,Casimiroa edulis,matasano; mexican apple; white sapote
614,52152,Miscellaneous,Elymus repens,None
615,1158081,Miscellaneous,Geranium incanum,None
616,371650,Miscellaneous,Albizia lebbeck,None
617,469955,Fruit,Garcinia macrophylla,None
618,1223618,Miscellaneous,Solidago odora,None
619,60359,Miscellaneous,Coprosma robusta,None
620,199623,Herbs and Spices,Alpinia officinarum,lesser galangal; chinese ginger
621,68554,Fruit,Phellodendron amurense,None
622,289741,Miscellaneous,Pistacia chinensis,chinese pistachio
623,175055,Miscellaneous,Primula denticulata,None
624,175059,Miscellaneous,Primula elatior,oxlip
625,289753,Plant Derivative,Rhus chinensis,None
626,183260,Flower,Hibiscus sabdariffa,sereni; roselle; red sorrel
627,191453,Miscellaneous,Drymaria cordata,whitesnow
628,183267,Flower,Talipariti tiliaceum,mahoe; majagua; sea hibiscus; cottontree; maho; sea hibiscu
629,1231846,Miscellaneous,Eugenia brasiliensis,None
630,1117157,Herbs and Spices,Teucrium polium,None
631,543723,Herbs and Spices,Salix aegyptiaca,None
632,183277,Vegetable,Malva neglecta,common mallow
633,44016,Miscellaneous,Glycine tabacina,None
634,175104,Miscellaneous,Primula vulgaris,None
635,60418,Miscellaneous,Carya ovata,shagbark hickory
636,60419,Miscellaneous,Castanea mollissima,chinese chestnut
637,183298,Flower,Hibiscus rosa-sinensis,shoebackplant; rose of china
638,355332,Miscellaneous,Polygala tenuifolia,yuan zhi; chinese senega root
639,289799,Vegetable-Leaf,Cardiospermum halicacabum,None
640,230192,Vegetable-Leaf,Solanum lyratum,None
641,371726,Herbs and Spices,Pistacia lentiscus,mastic
642,1125401,Fruit,Crescentia cujete,calabash tree
643,35874,Vegetable-Tuber,Dioscorea bulbifera,air potato; aerial yam; potato yam
644,35875,"Vegetable, Plant",Allium fistulosum,welsh onion; japanese bunching onion
645,117798,Herbs and Spices,Aloe ferox,None
646,691241,Miscellaneous,Sorbus sambucifolia,None
647,289842,Miscellaneous,Ephedra pachyclada,None
648,347188,Miscellaneous,Vicia sepium,bush vetch
649,207932,Miscellaneous,Iris missouriensis,None
650,666687,Nuts & Seeds,Shorea robusta,saltree; salwa
651,207936,Miscellaneous,Yucca glauca,None
652,35922,Miscellaneous,Atriplex canescens,four winged saltbush; shadscale
653,35924,Flower,Paeonia lactiflora,common garden peony; chinese peony
654,35925,Fruit,Diospyros kaki,diospyros kaki ; kaki persimmon; japanese persimmon
655,404569,Miscellaneous,Corydalis ambigua,None
656,404570,Miscellaneous,Corydalis incisa,None
657,35933,Fruit,Podophyllum peltatum,None
658,175197,Miscellaneous,Ribes fasciculatum,None
659,35936,Legume,Lablab purpureus,frijol caballero; carmelita; natoba; banner bean; hyacinth bean; antaque
660,35944,Miscellaneous,Knightia excelsa,None
661,93293,Plant,Mauritia flexuosa,None
662,76910,Miscellaneous,Samanea saman,cow tamarind; monkeypod; raintree; rain tree
663,93297,Miscellaneous,Metroxylon sagu,sago palm
664,175228,Miscellaneous,Ribes rubrum,northern red currant; red currant
665,175237,Miscellaneous,Ribes viscosissimum,sticky currant
666,371859,Fruit,Opuntia ficus-indica,indian fig
667,748693,Miscellaneous,Clematis chinensis,None
668,76966,Miscellaneous,Citrus japonica,meiwa kumquat; nagami kumquat; marumi kumquat
669,3900,Miscellaneous,Trifolium subterraneum,None
670,36012,Plant Derivative,Nageia nagi,None
671,3902,Flower,Ulex europaeus,furze; gorse
672,3258,Vegetable,Equisetum arvense,field horsetail; common horsetail
673,3260,Miscellaneous,Equisetum telmateia,giant horsetail
674,85181,Miscellaneous,Celastrus orbiculatus,None
675,3262,Vegetable,Equisetum hyemale,dutch rush
676,101569,Nuts & Seeds,Simarouba amara,bitterwood
677,3905,Miscellaneous,Vicia cracca,bird vetch
678,240844,Miscellaneous,Sium sisarum,skirret
679,3277,Miscellaneous,Matteuccia struthiopteris,ostrich fern
680,3279,Miscellaneous,Polystichum munitum,giant holly fern; common sword fern
681,3908,Vegetable,Vicia sativa,black pod vetch; narrow leaf vetch; common vetch; spring vetch; tare
682,404691,Herbs and Spices,Pithecellobium dulce,None
683,77015,Miscellaneous,Melicope ternata,None
684,3289,Miscellaneous,Dryopteris filix-mas,None
685,3910,Miscellaneous,Vicia hirsuta,None
686,306395,Miscellaneous,Micromeria juliana,None
687,3911,Vegetable-Leaf,Vicia villosa,hairy vetch
688,36066,Miscellaneous,Cantharellus cibarius,chanterelle
689,52451,Herbs and Spices,Bupleurum chinense,None
690,306406,Herbs and Spices,Thymbra spicata,None
691,85223,Herbs and Spices,Laurus nobilis,bay laurel
692,3912,Miscellaneous,Vicia narbonensis,None
693,543980,Herbs and Spices,Thymbra capitata,conehead thyme; spanish oregano; persian hyssop
694,52462,Herbs and Spices,Cuminum cyminum,cumin
695,3311,Herbs and Spices,Ginkgo biloba,ginkgo; maidenhair tree
696,85232,Herbs and Spices,Morus nigra,None
697,3316,Plant,Thuja plicata,pacific red cedar; giant arborvitae; western red cedar
698,3317,Vegetable-Stem,Thuja occidentalis,None
699,52471,Herbs and Spices,Ferula assa-foetida,asafoetida
700,52477,Miscellaneous,Peucedanum ostruthium,None
701,3326,Miscellaneous,Larix laricina,tamarack; american larch
702,3327,Miscellaneous,Larix occidentalis,western larch
703,888065,Miscellaneous,Salvia elegans,None
704,3329,Herbs and Spices,Picea abies,norway spruce
705,3330,Herbs and Spices,Picea glauca,white spruce
706,3334,Miscellaneous,Picea engelmannii,engelmann's spruce
707,52491,Vegetable-Leaf,Angelica decursiva,None
708,3340,Miscellaneous,Pinus edulis,pinyon
709,3335,Miscellaneous,Picea mariana,black spruce
710,3336,Miscellaneous,Picea omorika,None
711,3339,Miscellaneous,Pinus contorta,lodgepole pine
712,3345,Miscellaneous,Pinus monticola,western white pine
713,3346,Herbs and Spices,Pinus pinea,pignolia nut pine; stone pine; parasol pine
714,3347,Herbs and Spices,Pinus radiata,monterey pine
715,3351,Miscellaneous,Pinus coulteri,big cone pine; coulter pine
716,3348,Miscellaneous,Pinus strobus,eastern white pine
717,265497,Flower,Catalpa ovata,chinese catalpa
718,60698,Nuts & Seeds,Macadamia integrifolia,macadamia nut
719,3353,Miscellaneous,Pinus banksiana,jack pine
720,3352,Herbs and Spices,Pinus taeda,loblolly pine
721,3357,Miscellaneous,Pseudotsuga menziesii,douglas fir
722,3359,Miscellaneous,Tsuga heterophylla,western hemlock
723,52521,Miscellaneous,Amelanchier arborea,None
724,85293,Miscellaneous,Viburnum opulus,european cranberrybush; guelder rose; american cranberrybush; crampbark
725,159030,Miscellaneous,Murraya koenigii,curry leaf
726,159033,Fruit,Citrus aurantiifolia,lime
727,77113,Flower,Nuphar lutea,yellow water lily
728,19769,Miscellaneous,Beta trigyna,None
729,3396,Miscellaneous,Cycas revoluta,None
730,3397,Plant Derivative,Cycas circinalis,None
731,3406,Flower,Magnolia grandiflora,southern magnolia
732,3412,Miscellaneous,Magnolia virginiana,sweetbay
733,3415,Miscellaneous,Liriodendron tulipifera,None
734,52570,Herbs and Spices,Trachyspermum ammi,None
735,3419,Miscellaneous,Drimys winteri,None
736,3420,Miscellaneous,Tasmannia lanceolata,None
737,159070,Miscellaneous,Triphasia trifolia,limeberry
738,159071,Herbs and Spices,Zanthoxylum ailanthoides,None
739,3429,Miscellaneous,Calycanthus floridus,carolina allspice; eastern sweetshrub
740,13708,Flower,Tagetes erecta,big marigold; african marigold
741,298346,Herbs and Spices,Dictamnus albus,None
742,3435,Fruit,Persea americana,avocado; mexican avocado
743,3436,Miscellaneous,Persea borbonia,red bay
744,3438,Miscellaneous,Umbellularia californica,california bay tree; california bay
745,3444,Miscellaneous,Nigella damascena,love in a mist; jack in the green; love in mists
746,134520,Fruit,Lonicera caerulea,blue honeysuckle
747,3449,Plant,Caltha palustris,None
748,3451,Flower,Aquilegia vulgaris,None
749,568700,Miscellaneous,Quercus floribunda,None
750,339321,"Fruit, Vegetable, Plant",Rubia cordifolia,None
751,3457,Fruit,Dioscoreophyllum cumminsii,serendipity berry
752,347529,Vegetable-Leaf,Centaurea solstitialis,golden star thistle; yellow centaury; st. Barnaby's thistle
753,3467,Miscellaneous,Eschscholzia californica,california poppy
754,3469,Herbs and Spices,Papaver somniferum,opium poppy
755,109975,Vegetable-Leaf,Solanum americanum,None
756,3483,Miscellaneous,Cannabis sativa,marijuana; hemp
757,126363,Miscellaneous,Chionanthus virginicus,None
758,3485,Plant Derivative,Humulus japonicus,kana mugura; japanese hop
759,3486,"Vegetable-Leaf, Vegetable-Stem",Humulus lupulus,common hop; european hop
760,191904,Nuts & Seeds,Tara spinosa,spiny holdback
761,3489,Fruit,Artocarpus heterophyllus,jackfruit
762,3490,Fruit,Artocarpus integer,campedak; chempedak
763,290213,Vegetable,Euphrasia officinalis,None
764,3494,Fruit,Ficus carica,common fig
765,3496,Miscellaneous,Maclura pomifera,osage orange
766,167337,Herbs and Spices,Chrysopogon zizanioides,khus khu; vetivergra; cuscus grass; cuscus gra; khus khus; cuscus gras; vetivergrass; vetivergras
767,3498,Fruit,Morus alba,white mulberry; guangdong mulberry
768,93608,Fruit,Sinopodophyllum hexandrum,himalayan mayapple
769,3501,Herbs and Spices,Urtica dioica,great nettle; stinging nettle
770,3505,Plant Derivative,Betula pendula,white birch; european white birch
771,3507,Miscellaneous,Betula papyrifera,paper birch; canoe birch
772,3508,Miscellaneous,Betula nigra,river birch; black birch
773,3510,Fruit,Morella cerifera,wax myrtle; candleberry; southern bayberry
774,3512,Miscellaneous,Quercus rubra,red oak; northern red oak
775,3513,Miscellaneous,Quercus alba,white oak
776,3516,Miscellaneous,Alnus incana,gray alder
777,396733,Flower,Rosa x centifolia,burgundy rose
778,3523,Nuts & Seeds,Casuarina equisetifolia,None
779,3527,Vegetable-Leaf,Phytolacca americana,common pokeberry; american pokeweed; virginia poke; red stem pokeweed; common pokeweed
780,3528,Vegetable,Phytolacca acinosa,food pokeweed; indian pokeweed; shang lu; food pokeberry
781,126418,Herbs and Spices,Forsythia suspensa,None
782,3538,Miscellaneous,Mirabilis jalapa,garden four o'clock
783,3544,Miscellaneous,Mesembryanthemum crystallinum,common iceplant
784,126430,Herbs and Spices,Jasminum humile,italian yellow jasmine
785,126433,Miscellaneous,Jasminum officinale,su fang hua; jessamine; common jasmine
786,126435,Herbs and Spices,Lantana camara,None
787,3559,Vegetable-Leaf,Chenopodium album,pigweed; lamb's quarter; white goosefoot; lamb's quarters
788,3560,Vegetable,Oxybasis rubra,pigweed; red goosefoot
789,3562,Vegetable-Leaf,Spinacia oleracea,spinach
790,576999,Miscellaneous,Intsia palembanica,None
791,3565,Vegetable,Amaranthus hybridus,pigweed; blood amaranth; green amaranth; slim amaranth; african spinach; purple amaranth; prince's feather
792,3567,Vegetable-Leaf,Amaranthus caudatus,inca wheat; amaranth; jataco; love lies bleeding
793,19953,Herbs and Spices,Valeriana officinalis,common valerian; garden heliotrope
794,3570,Flower,Dianthus caryophyllus,clove pink; carnation
795,60916,Miscellaneous,Trifolium incarnatum,None
796,69109,Plant,Adansonia digitata,baobab
797,429560,"Nuts & Seeds, Herbs and Spices",Cullen corylifolium,None
798,93692,Miscellaneous,Cedrus libani,lebanon cedar
799,470525,Miscellaneous,Pyrus pashia,None
800,3583,Miscellaneous,Portulaca grandiflora,None
801,511491,Miscellaneous,Leptospermum laevigatum,coast teatree; australian myrtle
802,3589,Vegetable-Leaf,Basella alba,ceylon spinach
803,167427,Miscellaneous,Quercus laevis,None
804,3592,Miscellaneous,Mollugo verticillata,green carpetweed
805,93696,Miscellaneous,Tsuga mertensiana,None
806,3972,Fruit,Viscum album,european mistletoe; european mistleto
807,3605,Miscellaneous,Vitis aestivalis,None
808,3607,Miscellaneous,Parthenocissus quinquefolia,virginia creeper; woodbine
809,151065,Herbs and Spices,Dodonaea viscosa,hopshrub
810,151069,Fruit,Litchi chinensis,litchi; lychee
811,151071,Fruit,Nephelium lappaceum,rambutan
812,1035807,Miscellaneous,Hemerocallis thunbergii,None
813,3617,Cereal,Fagopyrum esculentum,common buckwheat
814,1035809,Miscellaneous,Hosta longipes,None
815,44681,Miscellaneous,Panax pseudoginseng,None
816,3619,Miscellaneous,Rumex obtusifolius,bitter dock
817,3621,Herbs and Spices,Rheum rhabarbarum,garden rhubarb; rhubarb
818,3625,Fruit,Actinidia chinensis,None
819,3627,Fruit,Actinidia deliciosa,chinese gooseberry; kiwifruit
820,44588,Miscellaneous,Panax quinquefolius,None
821,3634,Plant Derivative,Gossypium barbadense,egyptian cotton; sea island cotton
822,265783,Herbs and Spices,Artemisia capillaris,None
823,3641,Nuts & Seeds,Theobroma cacao,chocolate; cocoa; cacao
824,224826,Miscellaneous,Cicer microphyllum,None
825,3638,"Vegetable-Leaf, Beverage-caffeinated",Thespesia populnea,None
826,3645,Nuts & Seeds,Bertholletia excelsa,brazil nut
827,93759,Vegetable-Leaf,Corchorus olitorius,nalta jute
828,871999,Miscellaneous,Clarisia racemosa,None
829,3649,Fruit,Carica papaya,mamon; papaya
830,93760,Nuts & Seeds,Cola acuminata,None
831,85571,Fruit,Citrus reticulata,mandarin orange; tangerine
832,3652,Miscellaneous,Bryonia dioica,red bryony
833,3654,Fruit,Citrullus lanatus,wild melon; citron melon; watermelon
834,3656,Fruit,Cucumis melo,persian melo; muskmelon; oriental pickling melon; queen Anne's pocket melon; dudaim melon; phut; netted muskmelon; casaba melon; pomegranate melon; honeydew melon; cantaloupe; snake cucumber; nutmeg melon; oriental melon; honeydew; snap melon
835,3659,Vegetable-Gourd,Cucumis sativus,nepalese cucumber; xi nan ye huang gua; sikkim cucumber; cucumber; cucumbers
836,3661,Fruit,Cucurbita maxima,boston marrow; winter squash; great pumpkin
837,175694,Herbs and Spices,Andrographis paniculata,None
838,265806,Herbs and Spices,Angelica japonica,None
839,3662,Vegetable-Gourd,Cucurbita moschata,ayote; crookneck winter squash; canada pumpkin; crookneck pumpkin; lacayote; cushaw squash
840,3663,Vegetable-Gourd,Cucurbita pepo,vegetable marrow; ozark melon; texas gourd; summer crookneck squash; wild marrow; acorn squash; field pumpkin; pattypan squash; zucchini; ornamental gourd
841,3668,Vegetable-Gourd,Lagenaria siceraria,bottle gourd; white flowered gourd; calabash
842,3670,Vegetable-Gourd,Luffa aegyptiaca,smooth loofah; dishcloth gourd; loofa; vegetable sponge; sponge gourd
843,52824,Miscellaneous,Brassica carinata,abyssinian mustard; ethiopian mustard
844,3677,Herbs and Spices,Trichosanthes kirilowii,gua lou; mongolian snake gourd; tian hua fen
845,126558,Miscellaneous,Phillyrea latifolia,None
846,224864,Herbs and Spices,Pycnanthus angolensis,None
847,52833,Miscellaneous,Hydrangea paniculata,None
848,3988,Plant Derivative,Ricinus communis,castor bean
849,3685,Miscellaneous,Passiflora quadrangularis,granadilla; giant granadilla
850,52838,Miscellaneous,Musa balbisiana,starchy banana; balbis banana
851,355937,Vegetable,Salsola tragus,russian thistle; russian tumbleweed; ci sha peng; tumbleweed
852,101992,Miscellaneous,Plantago media,hoary plantain
853,101996,Miscellaneous,Plantago coronopus,None
854,3691,Miscellaneous,Populus nigra,lombardy poplar; black poplar
855,3693,Miscellaneous,Populus tremuloides,quaking aspen
856,3694,Miscellaneous,Populus trichocarpa,black cottonwood; western balsam poplar
857,3696,Miscellaneous,Populus deltoides,None
858,93815,Miscellaneous,Chimaphila umbellata,san xing xi dong cao
859,3704,Vegetable-Cabbage,Armoracia rusticana,horseradish
860,3707,Herbs and Spices,Brassica juncea,zha cai; brown mustard; root mustard; jie cai ge da; indian mustard
861,3708,Nuts & Seeds,Brassica napus,annual rape; rapeseeds; oilseed rape; swedish turnip; rutabaga; rapeseed; rape; canola
862,3710,Herbs and Spices,Brassica nigra,black mustard
863,3711,Miscellaneous,Brassica rapa,mizuna; false pak chois; false pak choi; kabuna; celery cabbage; turnip; biennial turnip rape; purple stem mustard; field mustard; bai cai; pe tsai; spinach mustard; wang sheng cai; tendergreen; choi sum; cai xin; bok choy; chinese cabbage
864,3712,Vegetable-Cabbage,Brassica oleracea,wild cabbage; kale; collard; braganza; marrow stem kale; seakale cabbage; branching bush kale; broccoli; collards; chinese kale; perennial kale; kohlrabi; fodder kale; bedford cabbage; asparagus broccoli; sprouting broccoli; cauliflower; tronchuda kale; brussels sprouts; brussels sprout; cabbage
865,429701,Miscellaneous,Handroanthus impetiginosus,None
866,3719,"Vegetable, Plant",Capsella bursa-pastoris,shepherd's purse
867,183944,Miscellaneous,Patrinia villosa,None
868,44685,Herbs and Spices,Panax japonicus,satsuma ninjin; tochiba ninjin; japanese ginseng; chikusetu ninjin
869,224910,Miscellaneous,Virola surinamensis,None
870,3726,Miscellaneous,Raphanus sativus,rat tail radish; chinese radish; kaiware daikon; radish; mougri; oil radish; japanese radish; daikon; east Asian wild radish
871,3728,Herbs and Spices,Sinapis alba,yellow mustard; bai jy; bai jie; white mustard
872,69266,Fruit,Vaccinium corymbosum,highbush blueberry; american blueberry
873,175759,Miscellaneous,Arisaema tortuosum,None
874,298643,Fruit,Crataegus laevigata,None
875,3735,Vegetable-Leaf,Moringa oleifera,maranga; horseradish tree
876,3730,Herbs and Spices,Sisymbrium irio,None
877,3741,Fruit,Manilkara zapota,chicle; sapote; sapodilla
878,339615,Miscellaneous,Rosa gymnocarpa,wood rose; dwarf rose
879,3747,Fruit,Fragaria x ananassa,strawberry
880,3750,Fruit,Malus domestica,cultivated apple; apple; apple tree
881,298661,Herbs and Spices,Rhus coriaria,tanner's sumac; sicilian sumac
882,167592,Miscellaneous,Dioscorea pentaphylla,wu ye shu yu
883,3755,Nuts & Seeds,Prunus dulcis,sweet almond; almond; bitter almond
884,3758,Miscellaneous,Prunus domestica,damson plum; st. Julien plum; mirabelle plum; plum
885,126639,Vegetable-Root,Nymphaea tetragona,pygmy water lily
886,3760,Fruit,Prunus persica,nectarine; peach
887,446127,Fruit,Phoenix sylvestris,None
888,298670,Miscellaneous,Rhus ovata,sugar sumac
889,945837,Miscellaneous,Vaccinium ashei,None
890,3765,Herbs and Spices,Rosa x damascena,damask rose
891,3767,Miscellaneous,Pyrus pyrifolia,yama nashi; japanese pear; sha li; asian pear
892,159425,"Fruit, Flower, Plant",Passiflora incarnata,None
893,159428,Miscellaneous,Passiflora caerulea,None
894,249543,Miscellaneous,Morus serrata,None
895,110284,Miscellaneous,Eleocharis dulcis,chinese water chestnut
896,85712,Herbs and Spices,Angelica gigas,None
897,151250,Vegetable,Kali turgidum,common saltwort; prickly saltwort
898,102107,Fruit,Prunus mume,japanese apricot; ume
899,3802,Miscellaneous,Ribes americanum,wild black currant; eastern black currant
900,214053,Plant,Viola tricolor,None
901,3806,"Vegetable, Plant",Bauhinia purpurea,camel's foot tree
902,3811,Vegetable-Leaf,Adenanthera pavonina,red sandalwood tree; bead tree; circassian bean; barbados pride; sandal bead tree; condori wood
903,3813,Flower,Albizia julibrissin,silk tree
904,298729,Miscellaneous,Vicia noeana,None
905,3818,Nuts & Seeds,Arachis hypogaea,huasquillo; peanut; zaruma; ground nut; spanish peanut; goober
906,3821,Legume,Cajanus cajan,pigeon pea
