,pubChemID,common_name,functional_group
1094,21228,Ethyl Isopropyl Sulfide,Thioether
1095,21240,"Toluene, P-Isobutyl-",Aromatic compound
1096,21368,Damascenine,"Ether, Alkylarylether, Amine, Sec. amine, Sec. mixed amine (aryl alkyl), Carboxylic acid deriv., Carboxylic acid ester, Aromatic compound"
1097,21648,4-(4-Hydroxyphenyl)-2-Butanone,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Aromatic compound"
1098,21671,1-P-Menthene,Alkene
1099,21742,Mansonone C,"Carbonyl compound, Ketone, Alkene, Aromatic compound"
1100,22199,Ethyl Behenate,"Carboxylic acid deriv., Carboxylic acid ester"
1101,22201,"2,3-Dimethylpyrazine","Aromatic compound, Heterocyclic compound"
1102,22227,D-Dihydrocarvone,"Carbonyl compound, Ketone, Alkene"
1103,22310,Linalyl Oxide,"Hydroxy compound, Alcohol, Tert. alcohol, Ether, Dialkylether, Alkene, Heterocyclic compound"
1104,22311,Dipentene,Alkene
1105,22386,2-Pentanol,"Hydroxy compound, Alcohol, Sec. alcohol"
1106,22478,Isobutyldiurea,"Aminal, Urea"
1107,22544,Chlordimeform,"Halogen deriv., Aryl chloride, Carboxylic acid deriv., Carboxylic acid amidine, Aromatic compound"
1108,22556,2-Dodecanone,"Carbonyl compound, Ketone"
1109,22873,Hexyl Hexanoate,"Carboxylic acid deriv., Carboxylic acid ester"
1110,23135,Candicine,"Cation, Hydroxy compound, Phenol, Quaternary ammonium salt, Aromatic compound"
1111,23217,1-Heptadecene,Alkene
1112,23496,Dimethyl Diselenide,
1113,23518,Methyl Pentadecanoate,"Carboxylic acid deriv., Carboxylic acid ester"
1114,23719,3-Methoxypyridine,"Ether, Alkylarylether, Aromatic compound, Heterocyclic compound"
1115,23912,Dysprosium,
1116,23924,Iridium,
1117,23925,Iron,
1118,23926,Lanthanum,
1119,23930,Manganese,
1120,23931,Mercury,
1121,23932,Molybdenum,
1122,23934,Neodymium,
1123,23936,Niobium,
1124,23937,Osmium,
1125,23938,Palladium,
1126,23939,Platinum,
1127,23942,Praseodymium,
1128,23947,Rhenium,
1129,23950,Ruthenium,
1130,23951,Samarium,
1131,23952,Scandium,
1132,23953,Silane,
1133,23954,Silver,
1134,23956,Tantalum,
1135,23960,Thorium,
1136,23963,Titanium,
1137,23964,Tungsten,
1138,23969,Arsine,
1139,23973,Cadmium,
1140,23974,Cerium,
1141,23976,Chromium,
1142,23978,Copper,
1143,23981,Europium,
1144,23982,Gadolinium,
1145,23985,Gold,
1146,23986,Hafnium,
1147,23989,Uranium,
1148,23990,Vanadium,
1149,23992,Ytterbium,
1150,23993,Yttrium,
1151,23994,Zinc,
1152,23995,Zirconium,
1153,24020,Ethyl 2-Methylbutyrate,"Carboxylic acid deriv., Carboxylic acid ester"
1154,24135,4-O-Methylphloracetophenone,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Ether, Alkylarylether, Aromatic compound"
1155,24154,Galactosamine,"Hemiacetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, 1,2-aminoalcohol, Amine, Prim. amine, Prim. aliphat. amine, Heterocyclic compound"
1156,24205,Eutrophyl,"Carbonyl compound, Ketone, Hydroxy compound, Alcohol, Tert. alcohol, Alkene"
1157,24261,Silica,
1158,24404,Phosphine,
1159,24408,Bromine,
1160,24417,S-Methyl-L-Cysteine,"Thioether, Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
1161,24434,Potassium Nitrate,"Cation, Anion"
1162,24473,Dihydrocarvone,"Carbonyl compound, Ketone, Alkene"
1163,24496,Selenohomocystine,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
1164,24524,Fluorine,
1165,24526,Chlorine,
1166,24619,Calcium Iodate,"Cation, Anion"
1167,24763,Einecs 232-684-3,"Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Heterocyclic compound"
1168,24764,Hexamethyldisiloxane,
1169,24869,108-54-3,"Carboxylic acid deriv., Carboxylic acid ester, Lactone, Alkene, Heterocyclic compound"
1170,24963,Calcium Nitrate,"Cation, Anion"
1171,25076,"Alanine, 3-Selenyl-","Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
1172,25310,L-Rhamnose,"Hemiacetal, Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Heterocyclic compound"
1173,25311,Tridecanal,"Carbonyl compound, Aldehyde"
1174,25480,"Dodecadienoic Acid, (Z,Z)-","Carboxylic acid deriv., Carboxylic acid, Alkene"
1175,25612,9-Decen-1-Ol,"Hydroxy compound, Alcohol, Prim. alcohol, Alkene"
1176,25913,1-Pentadecene,Alkene
1177,25915,2-Ethyl-5-Methylpyrazine,"Aromatic compound, Heterocyclic compound"
1178,25916,"3-Ethyl-2,5-Dimethylpyrazine","Aromatic compound, Heterocyclic compound"
1179,26049,3-Carene,Alkene
1180,26204,"5-Methylhexane-2,3-Dione","Carbonyl compound, Ketone"
1181,26305,Nodakenetin,"Hydroxy compound, Alcohol, Tert. alcohol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
1182,26331,2-Ethylpyrazine,"Aromatic compound, Heterocyclic compound"
1183,26333,2-Isobutyl-3-Methylpyrazine,"Aromatic compound, Heterocyclic compound"
1184,26335,2-Methyl-5-Vinylpyrazine,"Alkene, Aromatic compound, Heterocyclic compound"
1185,26447,(-)-Menthone,"Carbonyl compound, Ketone"
1186,26548,4-Hydroxybenzyl Cyanide,"Hydroxy compound, Phenol, Nitrile, Aromatic compound"
1187,26623,Mercuric Ion,
1188,26808,"2,3,5-Trimethylpyrazine","Aromatic compound, Heterocyclic compound"
1189,26839,"2,2,4-Trimethylheptane",
1190,26905,7-Methyljuglone,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Alkene, Aromatic compound"
1191,27099,Cupric Ion,
1192,27208,Beta-Bisabolol,"Hydroxy compound, Alcohol, Tert. alcohol, Alkene"
1193,27209,17092-92-1,"Carboxylic acid deriv., Carboxylic acid ester, Lactone, Alkene, Heterocyclic compound"
1194,27284,Ferrous Ion,
1195,27457,2-Ethyl-3-Methylpyrazine,"Aromatic compound, Heterocyclic compound"
1196,27458,"2,3-Diethylpyrazine","Aromatic compound, Heterocyclic compound"
1197,27460,"5-Ethyl-2,3-Dimethylpyrazine","Aromatic compound, Heterocyclic compound"
1198,27668,Chromium(Iii),
1199,27694,O-Methylcorypalline,"Ether, Alkylarylether, Amine, Tert. amine, Tert. aliphat. amine, Aromatic compound, Heterocyclic compound"
1200,27854,Manganese(2+),
1201,27866,16409-43-1,"Ether, Dialkylether, Alkene, Heterocyclic compound"
1202,28179,Fluoride,
1203,28425,Benzoctamine,"Amine, Sec. amine, Sec. aliphat. amine, Aromatic compound"
1204,28486,Lithium Ion,
1205,28619,Precocene I,"Ether, Alkylarylether, Alkene, Aromatic compound, Heterocyclic compound"
1206,28905,"2,3-Diethyl-5-Methylpyrazine","Aromatic compound, Heterocyclic compound"
1207,28906,"3,5-Diethyl-2-Methylpyrazine","Aromatic compound, Heterocyclic compound"
1208,28930,Alpha-Fenchene,Alkene
1209,28937,Oct-3-En-1-Ol,"Hydroxy compound, Alcohol, Prim. alcohol, Alkene"
1210,29025,Verbenone,"Carbonyl compound, Ketone, Alkene"
1211,29052,6-Methoxy-2H-Chromene,"Ether, Alkylarylether, Alkene, Aromatic compound, Heterocyclic compound"
1212,29073,.Beta.-Chamigrene,Alkene
1213,29109,Sulfide,
1214,29644,"2-Isopropyl-4,5-Dimethyloxazole","Aromatic compound, Heterocyclic compound"
1215,30215,"2,4,5-Trimethyloxazole","Aromatic compound, Heterocyclic compound"
1216,30248,Dihydrocarvyl Acetate,"Carboxylic acid deriv., Carboxylic acid ester, Alkene"
1217,30976,"2,6-Diaminopurine","Amine, Prim. amine, Prim. aromat. amine, Aromatic compound, Heterocyclic compound"
1218,31161,Pedalitin,"Carbonyl compound, Hydroxy compound, Phenol, 1,2-diphenol, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
1219,31193,Cadmium Ion,
1220,31211,Zingerone,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Ether, Alkylarylether, Aromatic compound"
1221,31219,Benzyl Propionate,"Carboxylic acid deriv., Carboxylic acid ester, Aromatic compound"
1222,31225,2-Phenylethyl Propionate,"Carboxylic acid deriv., Carboxylic acid ester, Aromatic compound"
1223,31226,3-Phenylpropyl Acetate,"Carboxylic acid deriv., Carboxylic acid ester, Aromatic compound"
1224,31231,4-Methoxyphenylacetone,"Carbonyl compound, Ketone, Ether, Alkylarylether, Aromatic compound"
1225,31234,3-Phenylpropan-1-Ol,"Hydroxy compound, Alcohol, Prim. alcohol, Aromatic compound"
1226,31238,Tridecylbenzene,Aromatic compound
1227,31242,4-Ethylphenol,"Hydroxy compound, Phenol, Aromatic compound"
1228,31244,4-Methoxybenzaldehyde,"Carbonyl compound, Aldehyde, Ether, Alkylarylether, Aromatic compound"
1229,31252,"2,5-Dimethylpyrazine","Aromatic compound, Heterocyclic compound"
1230,31253,Myrcene,Alkene
1231,31256,Diacetone Alcohol,"Carbonyl compound, Ketone, Hydroxy compound, Alcohol, Tert. alcohol"
1232,31260,3-Methyl-1-Butanol,"Hydroxy compound, Alcohol, Prim. alcohol"
1233,31261,"2,4-Pentanedione","Carbonyl compound, Ketone"
1234,31265,Ethyl Caproate,"Carboxylic acid deriv., Carboxylic acid ester"
1235,31266,Allyl Hexanoate,"Carboxylic acid deriv., Carboxylic acid ester, Alkene"
1236,31268,Pyrrolidine,"Amine, Sec. amine, Sec. aliphat. amine, Heterocyclic compound"
1237,31272,Butyl Acetate,"Carboxylic acid deriv., Carboxylic acid ester"
1238,31276,Isoamyl Acetate,"Carboxylic acid deriv., Carboxylic acid ester"
1239,31278,Butyl Stearate,"Carboxylic acid deriv., Carboxylic acid ester"
1240,31283,Ethyl Tetradecanoate,"Carboxylic acid deriv., Carboxylic acid ester"
1241,31284,Methyl Tetradecanoate,"Carboxylic acid deriv., Carboxylic acid ester"
1242,31289,Nonanal,"Carbonyl compound, Aldehyde"
1243,31291,Tetradecanal,"Carbonyl compound, Aldehyde"
1244,31404,"2,6-Di-Tert-Butyl-4-Methylphenol","Hydroxy compound, Phenol, Aromatic compound"
1245,31408,Nopol,"Hydroxy compound, Alcohol, Prim. alcohol, Alkene"
1246,31721,4-Methoxyamphetamine,"Ether, Alkylarylether, Amine, Prim. amine, Prim. aliphat. amine, Aromatic compound"
1247,32021,Dihydrozeatin,"Hydroxy compound, Alcohol, Prim. alcohol, Amine, Sec. amine, Sec. mixed amine (aryl alkyl), Aromatic compound, Heterocyclic compound"
1248,32033,"3,5-Dimethyl-1,2,4-Trithiolane","Disulfide, Sulfenic acid deriv., Heterocyclic compound"
1249,32051,Zinc Ion,
1250,32065,23747-48-0,"Aromatic compound, Heterocyclic compound"
1251,32209,Digiferruginol,"Carbonyl compound, Ketone, Hydroxy compound, Alcohol, Prim. alcohol, Phenol, Aromatic compound"
1252,32450,Ac1L1Np3,"Halogen deriv., Aryl chloride, Aromatic compound, Heterocyclic compound"
1253,32594,2-Isobutyl-3-Methoxypyrazine,"Ether, Alkylarylether, Aromatic compound, Heterocyclic compound"
1254,32735,Nopinone,"Carbonyl compound, Ketone"
1255,33005,Calcium Oxalate,"Cation, Anion, Carboxylic acid deriv., Carboxylic acid salt"
1256,33032,L-Glutamic Acid,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
1257,33135,2-Ethyl-3-Methoxypyrazine,"Ether, Alkylarylether, Aromatic compound, Heterocyclic compound"
1258,33166,2-Isopropyl-3-Methoxypyrazine,"Ether, Alkylarylether, Aromatic compound, Heterocyclic compound"
1259,33346,4'-Carbomethoxyphenyl 4-Guanidinobenzoate,"Carboxylic acid deriv., Carboxylic acid ester, Guanidine, Aromatic compound"
1260,33503,"2,2-Dimethylundecanoic Acid","Carboxylic acid deriv., Carboxylic acid"
1261,34167,28125-84-0,"Amine, Tert. amine, Tert. aliphat. amine, Carboxylic acid deriv., Carboxylic acid ester, Alkene, Heterocyclic compound"
1262,34295,"2,3-Dimethylthiophene","Aromatic compound, Heterocyclic compound"
1263,34296,"2,4-Dimethylthiophene","Aromatic compound, Heterocyclic compound"
1264,34540,Amorphane,
1265,34645,Isopulegone,"Carbonyl compound, Ketone, Alkene"
1266,34781,Dehydrocorydaline,"Cation, Ether, Alkylarylether, Aromatic compound, Heterocyclic compound"
1267,35627,"2,4-Dichloro-6-(2-Chlorophenoxy)-1,3,5-Triazine","Ether, Diarylether, Halogen deriv., Aryl chloride, Aromatic compound, Heterocyclic compound"
1268,36098,"2,5-Dimethyl-4-Ethylthiazole","Aromatic compound, Heterocyclic compound"
1269,36225,"2,5-Diethyl-3-Methylpyrazine","Aromatic compound, Heterocyclic compound"
1270,37246,"2-Cyclohexene-1,4-Dione, 2-Hydroxy-3,5,5-Trimethyl-","Carbonyl compound, Ketone, Enol"
1271,37720,Pentosan Polysulfate,"Hemiacetal, Acetal, Hydroxy compound, Alcohol, Sec. alcohol, Sulfuric acid deriv., Sulfuric acid monoester, Heterocyclic compound"
1272,37982,Hentriacontanoic Acid,"Carboxylic acid deriv., Carboxylic acid"
1273,38762,Ethyl Pentadecanoate,"Carboxylic acid deriv., Carboxylic acid ester"
1274,40303,7-Hydroxymyoporone,"Carbonyl compound, Ketone, Hydroxy compound, Alcohol, Sec. alcohol, Aromatic compound, Heterocyclic compound"
1275,40787,"2-Isopropyl-4,5-Dimethylthiazole","Aromatic compound, Heterocyclic compound"
1276,40923,7-Octen-4-Ol,"Hydroxy compound, Alcohol, Sec. alcohol, Alkene"
1277,41493,4-Hydroxymyoporone,"Carbonyl compound, Ketone, Hydroxy compound, Alcohol, Tert. alcohol, Aromatic compound, Heterocyclic compound"
1278,41518,Methyl Octacosanoate,"Carboxylic acid deriv., Carboxylic acid ester"
1279,42759,N-Vanillyl Octanamide,"Hydroxy compound, Phenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid amide, Carboxylic acid sec. amide, Aromatic compound"
1280,42978,Egomaketone,"Carbonyl compound, Ketone, Alkene, Aromatic compound, Heterocyclic compound"
1281,47346,Capsi-Amide,"Carboxylic acid deriv., Carboxylic acid amide, Carboxylic acid sec. amide"
1282,47795,Bw755C,"Hydrazine derivative, Halogen deriv., Carboxylic acid deriv., Carboxylic acid amidrazone, Aromatic compound, Heterocyclic compound"
1283,47945,Dihydro-7-Hydroxymyoporone,"Carbonyl compound, Ketone, Hydroxy compound, Alcohol, Sec. alcohol, 1,2-diol, Aromatic compound, Heterocyclic compound"
1284,51551,6-Myoporol,"Carbonyl compound, Ketone, Hydroxy compound, Alcohol, Sec. alcohol, Aromatic compound, Heterocyclic compound"
1285,52438,"2,3-Dimethyl-7-Methoxy-8-Morpholinochromone Hydrochloride","Cation, Anion, Carbonyl compound, Ether, Dialkylether, Alkylarylether, Amine, Tert. amine, Tert. mixed amine, Oxohetarene, Aromatic compound, Heterocyclic compound"
1286,54456,525-72-4,"Hydroxy compound, Phenol, 1,2-diphenol, Amine, Sec. amine, Sec. aliphat. amine, Aromatic compound, Heterocyclic compound"
1287,55463,Unii-P3Whg5Im2W,"Amine, Tert. amine, Tert. aliphat. amine, Halogen deriv., Aryl fluoride, Oxohetarene, Aromatic compound, Heterocyclic compound"
1288,60699,Topotecan Hydrochloride,"Hydroxy compound, Alcohol, Tert. alcohol, Phenol, Amine, Tert. amine, Tert. aliphat. amine, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Oxohetarene, Aromatic compound, Heterocyclic compound"
1289,60795,Aripiprazole,"Ether, Alkylarylether, Amine, Tert. amine, Tert. aliphat. amine, Tert. mixed amine, Halogen deriv., Aryl chloride, Carboxylic acid deriv., Carboxylic acid amide, Carboxylic acid sec. amide, Lactam, Aromatic compound, Heterocyclic compound"
1290,60877,Emtricitabine,"Thioacetal, Hydroxy compound, Alcohol, Prim. alcohol, Amine, Prim. amine, Prim. aromat. amine, Halogen deriv., Aryl fluoride, Oxohetarene, Aromatic compound, Heterocyclic compound"
1291,60961,Adenosine,"Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Amine, Prim. amine, Prim. aromat. amine, Aromatic compound, Heterocyclic compound"
1292,60962,Phenylhydrazine Hydrochloride,"Hydrazine derivative, Aromatic compound"
1293,60983,"2,3-Heptanedione","Carbonyl compound, Ketone"
1294,61016,"2,6-Dimethyl-5-Heptenal","Carbonyl compound, Aldehyde, Alkene"
1295,61020,3-Methyl-2-Butenal,"Carbonyl compound, Aldehyde, Alkene"
1296,61030,Octyl Butyrate,"Carboxylic acid deriv., Carboxylic acid ester"
1297,61041,Safranal,"Carbonyl compound, Aldehyde, Alkene"
1298,61096,Octyl Propionate,"Carboxylic acid deriv., Carboxylic acid ester"
1299,61098,Linalyl Propionate,"Carboxylic acid deriv., Carboxylic acid ester, Alkene"
1300,61125,Beta-Caryophyllene Alcohol,"Hydroxy compound, Alcohol, Tert. alcohol"
1301,61126,Verbenol,"Hydroxy compound, Alcohol, Sec. alcohol, Alkene"
1302,61130,Myrtenal,"Carbonyl compound, Aldehyde, Alkene"
1303,61262,Myrtenyl Acetate,"Carboxylic acid deriv., Carboxylic acid ester, Alkene"
1304,61275,Nerol Oxide,"Ether, Dialkylether, Alkene, Heterocyclic compound"
1305,61290,Methyl Citronellate,"Carboxylic acid deriv., Carboxylic acid ester, Alkene"
1306,61303,2-Pentadecanone,"Carbonyl compound, Ketone"
1307,61346,1-Octen-3-One,"Carbonyl compound, Ketone, Alkene"
1308,61361,Butylphthalide,"Carboxylic acid deriv., Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
1309,61455,Hexyl Isovalerate,"Carboxylic acid deriv., Carboxylic acid ester"
1310,61592,Ethyl 3-(Methylthio)Propionate,"Thioether, Carboxylic acid deriv., Carboxylic acid ester"
1311,61641,Methyl 3-(Methylthio)Propionate,"Thioether, Carboxylic acid deriv., Carboxylic acid ester"
1312,61653,"2,4,5-Trimethylthiazole","Aromatic compound, Heterocyclic compound"
1313,61700,2-Isopropyl-5-Methylpyrazine,"Aromatic compound, Heterocyclic compound"
1314,61780,Perillyl Acetate,"Carboxylic acid deriv., Carboxylic acid ester, Alkene"
1315,61781,Limonen-10-Yl Acetate,"Carboxylic acid deriv., Carboxylic acid ester, Alkene"
1316,61808,2-Isopropyl-4-Methylthiazole,"Aromatic compound, Heterocyclic compound"
1317,61926,Allyl Methyl Trisulfide,"Disulfide, Sulfenic acid deriv., Alkene"
1318,61942,Piperitenone Oxide,"Carbonyl compound, Ketone, Ether, Dialkylether, Alkene, Heterocyclic compound"
1319,61953,Theaspirane,"Ether, Dialkylether, Alkene, Heterocyclic compound"
1320,62069,"2-Ethyl-4,5-Dimethyloxazole","Aromatic compound, Heterocyclic compound"
1321,62072,Tetradec-9-Enal,"Carbonyl compound, Aldehyde, Alkene"
1322,62328,Terpinyl Propionate,"Carboxylic acid deriv., Carboxylic acid ester, Alkene"
1323,62335,(+)-Menthyl Acetate,"Carboxylic acid deriv., Carboxylic acid ester"
1324,62341,1-Phenylethyl Acetate,"Carboxylic acid deriv., Carboxylic acid ester, Aromatic compound"
1325,62351,3-(Methylthio)Propyl Isothiocyanate,"Thioether, Isothiocyanate"
1326,62367,4-Thujanol,"Hydroxy compound, Alcohol, Tert. alcohol"
1327,62374,1125-21-9,"Carbonyl compound, Ketone, Alkene"
1328,62375,Benzaldehyde Dimethyl Acetal,"Acetal, Aromatic compound"
1329,62384,"2,2,4-Trimethyl-1,3-Dioxolane","Acetal, Heterocyclic compound"
1330,62385,1195-32-0,"Alkene, Aromatic compound"
1331,62389,6-Benzylaminopurine,"Amine, Sec. amine, Sec. mixed amine (aryl alkyl), Aromatic compound, Heterocyclic compound"
1332,62424,2-Pentanethiol,"Thiol, Alkylthiol"
1333,62433,Pentyl Valerate,"Carboxylic acid deriv., Carboxylic acid ester"
1334,62434,Allyl Methyl Disulfide,"Disulfide, Sulfenic acid deriv., Alkene"
1335,62445,2-Methylbutyl Isovalerate,"Carboxylic acid deriv., Carboxylic acid ester"
1336,62453,4-Vinylphenol,"Hydroxy compound, Phenol, Alkene, Aromatic compound"
1337,62465,4-Ethyl-2-Methoxyphenol,"Hydroxy compound, Phenol, Ether, Alkylarylether, Aromatic compound"
1338,62566,Beta-Bourbonene,Alkene
1339,62698,Dextrin,"Hemiacetal, Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Heterocyclic compound"
1340,62705,Urea Formaldehyde,"Carbonyl compound, Aldehyde, Urea"
1341,62725,2-Isobutylthiazole,"Aromatic compound, Heterocyclic compound"
1342,62817,Topper 5E,"Carboxylic acid deriv., Carboxylic acid"
1343,62835,28664-35-9,"Enol, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Heterocyclic compound"
1344,64685,Borneol,"Hydroxy compound, Alcohol, Sec. alcohol"
1345,64689,Beta-D-Glucose,"Hemiacetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Heterocyclic compound"
1346,64945,Ursolic Acid,"Hydroxy compound, Alcohol, Sec. alcohol, Carboxylic acid deriv., Carboxylic acid, Alkene"
1347,64959,Xanthosine,"Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Oxohetarene, Aromatic compound, Heterocyclic compound"
1348,64961,"9H-Pyrido[3,4-B]Indole","Aromatic compound, Heterocyclic compound"
1349,64981,Arctigenin,"Hydroxy compound, Phenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid ester, Lactone, Aromatic compound, Heterocyclic compound"
1350,65036,Allicin,"Sulfinic acid deriv., Sulfenic acid deriv., Alkene"
1351,65064,(-)-Epigallocatechin Gallate,"Hydroxy compound, Phenol, 1,2-diphenol, Ether, Alkylarylether, Carboxylic acid deriv., Carboxylic acid ester, Aromatic compound, Heterocyclic compound"
1352,65067,"2,2':5',2''-Terthiophene","Aromatic compound, Heterocyclic compound"
1353,65084,Gallocatechin,"Hydroxy compound, Alcohol, Sec. alcohol, Phenol, 1,2-diphenol, Ether, Alkylarylether, Aromatic compound, Heterocyclic compound"
1354,65090,Xanthotoxol,"Hydroxy compound, Phenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
1355,65098,L-Norvaline,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
1356,65188,Xanthyletin,"Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
1357,65249,N-Acetylserine,"Hydroxy compound, Alcohol, Prim. alcohol, Carboxylic acid deriv., Carboxylic acid, Carboxylic acid amide, Carboxylic acid sec. amide"
1358,65252,Obtusifoliol,"Hydroxy compound, Alcohol, Sec. alcohol, Alkene"
1359,65373,Secoisolariciresinol,"Hydroxy compound, Alcohol, Prim. alcohol, Phenol, Ether, Alkylarylether, Aromatic compound"
1360,65575,Cedrol,"Hydroxy compound, Alcohol, Tert. alcohol"
1361,65576,Tomatidine,"Hemiaminal, Hydroxy compound, Alcohol, Sec. alcohol, Heterocyclic compound"
1362,65609,Ac1L23Lq,"Acetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Alkene, Heterocyclic compound"
1363,65724,Verbenone,"Carbonyl compound, Ketone, Alkene"
1364,65727,Solanidine,"Hydroxy compound, Alcohol, Sec. alcohol, Amine, Tert. amine, Tert. aliphat. amine, Alkene, Heterocyclic compound"
1365,65752,Rutaecarpine,"Oxohetarene, Aromatic compound, Heterocyclic compound"
1366,66093,Valerophenone,"Carbonyl compound, Ketone, Aromatic compound"
1367,66282,Allyl Methyl Sulfide,"Thioether, Alkene"
1368,66308,D-(-)-Arabinose,"Carbonyl compound, Aldehyde, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol"
1369,66348,Octasulfur,"Disulfide, Heterocyclic compound"
1370,66520,"2,4,6-Trihydroxybenzoic Acid","Hydroxy compound, Phenol, Carboxylic acid deriv., Carboxylic acid, Aromatic compound"
1371,66548,Xanthoxyletin,"Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
1372,66654,Xanthoxylin,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Ether, Alkylarylether, Aromatic compound"
1373,66751,Octyl Benzoate,"Carboxylic acid deriv., Carboxylic acid ester, Aromatic compound"
1374,66841,Beta-Terpinene,Alkene
1375,66948,Protoanemonin,"Oxohetarene, Aromatic compound, Heterocyclic compound"
1376,67111,"3(2H)-Benzofuranone, 2-[(3,4-Dihydroxyphenyl)Methylene]-6-Hydroxy-","Carbonyl compound, Hydroxy compound, Phenol, 1,2-diphenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
1377,67179,Coriandrol,"Hydroxy compound, Alcohol, Tert. alcohol, Alkene"
1378,67249,Pelargonidin Chloride,"Cation, Anion, Hydroxy compound, Phenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
1379,67427,N-Acetyl-L-Arginine,"Carboxylic acid deriv., Carboxylic acid, Carboxylic acid amide, Carboxylic acid sec. amide, Guanidine"
1380,67678,L-Cystine,"Disulfide, Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Sulfenic acid deriv., Alpha-aminoacid"
1381,68057,Ionene,Aromatic compound
1382,68077,Tangeretin,"Carbonyl compound, Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
1383,68079,Isopimpinellin,"Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
1384,68081,Isoimperatorin,"Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
1385,68082,Isobergapten,"Ether, Alkylarylether, Oxohetarene, Aromatic compound, Heterocyclic compound"
1386,68085,Dictamnine,"Ether, Alkylarylether, Aromatic compound, Heterocyclic compound"
1387,68094,Harmol,"Carbonyl compound, Oxohetarene, Aromatic compound, Heterocyclic compound"
1388,68111,Chrysothrone,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, Aromatic compound"
1389,68123,Nicotelline,"Aromatic compound, Heterocyclic compound"
1390,68148,Chavicol,"Hydroxy compound, Phenol, Alkene, Aromatic compound"
1391,68171,1-Hexacosanol,"Hydroxy compound, Alcohol, Prim. alcohol"
1392,68184,Rotenolone,"Carbonyl compound, Ketone, Hydroxy compound, Alcohol, Tert. alcohol, Ether, Alkylarylether, Alkene, Aromatic compound, Heterocyclic compound"
1393,68213,Maclurin,"Carbonyl compound, Ketone, Hydroxy compound, Phenol, 1,2-diphenol, Aromatic compound"
1394,68222,Maculosidine,"Ether, Alkylarylether, Aromatic compound, Heterocyclic compound"
1395,68229,Seselin,"Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
1396,68230,Flindersine,"Ether, Alkylarylether, Oxohetarene, Alkene, Aromatic compound, Heterocyclic compound"
1397,68245,Delphinidin Chloride,"Cation, Anion, Hydroxy compound, Phenol, 1,2-diphenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
1398,68247,Cyanidin Chloride,"Cation, Anion, Hydroxy compound, Phenol, 1,2-diphenol, Oxohetarene, Aromatic compound, Heterocyclic compound"
1399,68252,Thymol Acetate,"Carboxylic acid deriv., Carboxylic acid ester, Aromatic compound"
1400,68261,Deoxyvasicinone,"Oxohetarene, Aromatic compound, Heterocyclic compound"
