,id,category,name,disease_synonyms
2231,MESH:D005642,Eye disease|Genetic disease (inborn),Fuchs' Endothelial Dystrophy,"Dystrophy, Fuch's Endothelial|Dystrophy, Fuchs' Endothelial|Endothelial Dystrophy, Fuch's|Endothelial Dystrophy, Fuchs'|Fuch Endothelial Dystrophy|Fuchs Atrophy|Fuchs Corneal Dystrophy|Fuchs Dystrophy|Fuchs Endothelial Corneal Dystrophy|Fuch's Endothelial Dystrophy|Fuchs Endothelial Dystrophy"
2232,MESH:C535302,Congenital abnormality|Genetic disease (inborn)|Nervous system disease,"Charcot-Marie-Tooth disease, X-linked recessive, 2","Charcot-Marie-Tooth Neuropathy, X-Linked Recessive, 2|CMTX2"
2233,MESH:C563723,Congenital abnormality|Genetic disease (inborn)|Musculoskeletal disease|Nervous system disease,Holoprosencephaly 8,HPE8
2234,MESH:D064726,Cancer|Skin disease,Triple Negative Breast Neoplasms,"Breast Cancers, Triple-Negative|Breast Cancer, Triple-Negative|Breast Neoplasms, Triple-Negative|Breast Neoplasm, Triple-Negative|ER Negative PR Negative HER2 Negative Breast Cancer|ER-Negative PR-Negative HER2-Negative Breast Cancer|ER Negative PR Negative HER2 Negative Breast Neoplasms|ER-Negative PR-Negative HER2-Negative Breast Neoplasms|Triple Negative Breast Cancer|Triple-Negative Breast Cancer|Triple-Negative Breast Cancers|Triple Negative Breast Neoplasm|Triple-Negative Breast Neoplasm|Triple-Negative Breast Neoplasms"
2235,OMIM:616687,Congenital abnormality|Genetic disease (inborn)|Nervous system disease,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2Y","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL DOMINANT, TYPE 2Y|CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 2Y|CMT2Y"
2236,MESH:C567144,Blood disease,"Anemia, Hypochromic Microcytic, With Iron Overload","AHMIO1|AHMIO2|ANEMIA, HYPOCHROMIC MICROCYTIC, WITH IRON OVERLOAD 1|ANEMIA, HYPOCHROMIC MICROCYTIC, WITH IRON OVERLOAD 2"
2237,MESH:D014694,Cardiovascular disease,Ventricular Outflow Obstruction,"Left Ventricular Outflow Obstruction|Obstructions, Ventricular Outflow|Obstruction, Ventricular Outflow|Outflow Obstruction, Left Ventricular|Outflow Obstruction, Right Ventricular|Outflow Obstructions, Ventricular|Outflow Obstruction, Ventricular|Right Ventricular Outflow Obstruction|Ventricular Outflow Obstruction, Left|Ventricular Outflow Obstruction, Right|Ventricular Outflow Obstructions"
2238,MESH:C536277,Cardiovascular disease,Idiopathic dilation cardiomyopathy,"Cardiomyopathy, Dilated, 1h|Cardiomyopathy, Dilated, With Conduction Defect|CMD1H|Dilated cardiomyopathy with conduction defect"
2239,MESH:D009423,Cancer|Nervous system disease,Nervous System Neoplasms,"Neoplasm, Nervous System|Neoplasms, Nervous System|Nervous System Neoplasm|Nervous System Tumor|Nervous System Tumors|Tumor, Nervous System|Tumors, Nervous System|Tumors of the Nervous System"
2240,OMIM:600142,Cardiovascular disease|Genetic disease (inborn)|Nervous system disease,"CEREBRAL ARTERIOPATHY, AUTOSOMAL RECESSIVE, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY","CARASIL|CEREBROVASCULAR DISEASE WITH THIN SKIN, ALOPECIA, AND DISC DISEASE|MAEDA SYNDROME|SUBCORTICAL VASCULAR ENCEPHALOPATHY, PROGRESSIVE"
2241,MESH:C566716,Eye disease|Genetic disease (inborn),Retinitis Pigmentosa 9,RP9
2242,MESH:C537852,Blood disease|Cancer|Fetal disease|Genetic disease (inborn)|Immune system disease|Pregnancy complication|Signs and symptoms,"Nuchal bleb, familial","Cystic hygroma, fetal|Familial nuchal bleb|Fetal cystic hygroma"
2243,MESH:C565100,Endocrine system disease|Immune system disease|Metabolic disease,"Diabetes Mellitus, Insulin-Dependent, 2",IDDM2|Insulin-Dependent Diabetes Mellitus 2
2244,MESH:C535668,Endocrine system disease,Adrenocorticotropic hormone deficiency,None
2245,OMIM:157300,Nervous system disease,"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1",MA|MGAU|MGR1|MIGRAINE
2246,MESH:C536726,Congenital abnormality|Genetic disease (inborn)|Mental disorder|Mouth disease|Musculoskeletal disease|Nervous system disease|Signs and symptoms|Skin disease,Zlotogora-Ogur syndrome,"Autosomal recessive ectodermal dysplasia|Bustos Simosa Pinto Cisternas syndrome|Cleft lip-palate-ectodermal dysplasia syndrome|CLEFT LIP/PALATE-ECTODERMAL DYSPLASIA SYNDROME|CLEFT LIP WITH OR WITHOUT CLEFT PALATE, NONSYNDROMIC, 7, INCLUDED|CLPED1|Ectodermal dysplasia, cleft lip and palate, mental retardation, and syndactyly|ECTODERMAL DYSPLASIA, CLEFT LIP AND PALATE, MENTAL RETARDATION, AND SYNDACTYLY  OROFACIAL CLEFT 7, INCLUDED|Ectodermal dysplasia Margarita island type|Ectodermal Dysplasia, Margarita Island Type|Ectodermal dysplasia type 4|Ectodermal Dysplasia, Type 4|ED4|OFC7, INCLUDED|ZLOTOGORA-OGUR SYNDROME"
2247,MESH:C537842,Cancer|Endocrine system disease,"Nonmedullary thyroid carcinoma, with or without cell oxyphilia","TCO|TCO1|Thyroid Carcinoma, Nonmedullary, With Or Without Cell Oxyphilia"
2248,MESH:D006450,Blood disease|Genetic disease (inborn),Hemoglobin SC Disease,"Disease, Hemoglobin SC|Disease, SC|Diseases, Hemoglobin SC|Diseases, SC|Hemoglobin SC Diseases|SC Disease|SC Disease, Hemoglobin|SC Diseases|SC Diseases, Hemoglobin|Sickle Cell Hemoglobin C Disease"
2249,MESH:D000196,Bacterial infection or mycosis,Actinomycosis,"Actinomyces Infection|Actinomyces Infections|Actinomycoses|Infection, Actinomyces|Infections, Actinomyces"
2250,MESH:C567232,Congenital abnormality|Mental disorder|Musculoskeletal disease|Nervous system disease|Pathology (process)|Signs and symptoms,Chromosome 15q26-Qter Deletion Syndrome,Drayer Syndrome
2251,MESH:D021183,Immune system disease,Peanut Hypersensitivity,"Allergies, Peanut|Allergy, Peanut|Groundnut Hypersensitivity|Hypersensitivity, Groundnut|Hypersensitivity, Peanut|Peanut Allergies|Peanut Allergy"
2252,MESH:D020270,Nervous system disease|Signs and symptoms|Substance-related disorder,Alcohol Withdrawal Seizures,"Alcoholic Seizure|Alcoholic Seizures|Alcohol-Related Seizure|Alcohol Related Seizures|Alcohol-Related Seizures|Alcohol Withdrawal Induced Major Motor Seizure|Alcohol Withdrawal-Induced Major Motor Seizure|Alcohol Withdrawal Induced Seizure|Alcohol Withdrawal-Induced Seizure|Alcohol Withdrawal-Induced Seizures|Alcohol Withdrawal Induced Status Epilepticus|Alcohol Withdrawal-Induced Status Epilepticus|Alcohol Withdrawal Seizure|Major Motor Seizure, Alcohol Withdrawal-Induced|Seizure, Alcoholic|Seizure, Alcohol-Related|Seizure, Alcohol Withdrawal|Seizure, Alcohol Withdrawal-Induced|Seizures, Alcoholic|Seizures, Alcohol-Related|Seizures, Alcohol Withdrawal|Seizures, Alcohol Withdrawal-Induced|Status Epilepticus, Alcohol Withdrawal Induced|Status Epilepticus, Alcohol Withdrawal-Induced|Withdrawal-Induced Seizure, Alcohol|Withdrawal-Induced Seizures, Alcohol"
2253,MESH:C538050,Ear-nose-throat disease|Nervous system disease|Signs and symptoms,"Deafness, autosomal dominant nonsyndromic sensorineural 17","COCHLEOSACCULAR DEGENERATION, INCLUDED|DEAFNESS, AUTOSOMAL DOMINANT 17|DFNA17|Late-onset progressive hereditary hearing impairment due to cochleosaccular degeneration"
2254,MESH:C562492,Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Musculoskeletal disease|Urogenital disease (female)|Urogenital disease (male),"Robinow Syndrome, Autosomal Dominant","Acral Dysostosis with Facial and Genital Abnormalities|DRS1|DRS2|DRS3|Fetal Face Syndrome|Mesomelic Dwarfism-Small Genitalia Syndrome|Robinow Dwarfism|Robinow-Silverman-Smith Syndrome|Robinow Syndrome|ROBINOW SYNDROME, AUTOSOMAL DOMINANT 1|ROBINOW SYNDROME, AUTOSOMAL DOMINANT 2|ROBINOW SYNDROME, AUTOSOMAL DOMINANT 3"
2255,MESH:D004931,Digestive system disease,Esophageal Achalasia,"Achalasia|Achalasia, Esophageal|Achalasias|Achalasias, Esophageal|Cardiospasm|Cardiospasms|Esophageal Achalasias|Megaesophagus"
2256,OMIM:612286,Metabolic disease|Musculoskeletal disease|Urogenital disease (female)|Urogenital disease (male),"NEPHROLITHIASIS/OSTEOPOROSIS, HYPOPHOSPHATEMIC, 1",NPHLOP1
2257,OMIM:256040,Genetic disease (inborn)|Metabolic disease|Pathology (process)|Skin disease,"AUTOINFLAMMATION, LIPODYSTROPHY, AND DERMATOSIS SYNDROME","ALDD|CANDLE|CHRONIC ATYPICAL NEUTROPHILIC DERMATOSIS WITH LIPODYSTROPHY AND ELEVATED TEMPERATURE SYNDROME|JMP SYNDROME|JOINT CONTRACTURES, MUSCULAR ATROPHY, MICROCYTIC ANEMIA, AND PANNICULITIS-INDUCED LIPODYSTROPHY|NAKAJO-NISHIMURA SYNDROME|NKJO"
2258,MESH:C538258,Blood disease|Genetic disease (inborn)|Nervous system disease,ATR-X syndrome,"Alpha-Thalassemia-Mental Retardation Syndrome, Nondeletion Type|ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, NONDELETION TYPE|Alpha thalassemia mental retardation syndrome, non deletion type, X-linked|Alpha-Thalassemia-Mental Retardation Syndrome, Nondeletion Type, X-Linked|ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED|Alpha Thalassemia-Mental Retardation, X-Linked|Alpha Thalassemia X-Linked Intellectual Disability Syndrome|Alpha-thalassemia X-linked mental retardation syndrome|Alpha Thalassemia X-Linked Mental Retardation Syndrome|ATR non deletion type|ATR, Nondeletion Type|ATRX|ATRX Syndrome|ATR-X SYNDROME|X-linked alpha thalassemia mental retardation syndrome|X-Linked Alpha-Thalassemia Mental Retardation Syndrome|XLMR-Hypotonic Face Syndrome"
2259,OMIM:613375,Endocrine system disease|Metabolic disease,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11",MODY11
2260,MESH:C563760,Eye disease,Myopia 8,MYP8
2261,MESH:D004387,Cancer|Connective tissue disease|Musculoskeletal disease,Dupuytren Contracture,"Contracture, Dupuytren|Contracture, Dupuytren's|DUPC1, INCLUDED|DUPUYTREN CONTRACTURE 1, INCLUDED|Dupuytren Disease|Dupuytren's Contracture|Dupuytrens Contracture|Dupuytren's Disease|Dupuytrens Disease|Fibromatosis, Palmar|Palmar Fibromatosis|PLANTAR FIBROMAS, INCLUDED|PLANTAR FIBROMATOSIS, FAMILIAL, INCLUDED"
2262,MESH:D011546,Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male),Pseudohypoaldosteronism,"Familial Hyperpotassemia and Hypertension|Familial Hypertensive Hyperkalemia|Familial Hypertensive Hyperkalemias|Gordon Hyperkalemia Hypertension Syndrome|Gordon Hyperkalemia-Hypertension Syndrome|Hyperkalemia, Familial Hypertensive|Hyperkalemia-Hypertension Syndrome, Gordon|Hyperkalemias, Familial Hypertensive|Hyperpotassemia and Hypertension, Familial|Hypertensive Hyperkalemia, Familial|Hypertensive Hyperkalemias, Familial|PHA1A|PHA1B|PHA2A|PHA I, AUTOSOMAL DOMINANT|PHA I, AUTOSOMAL RECESSIVE|PHP1B|PHP1C|PHP IB|PHP IC|Pseudohypoaldosteronisms|Pseudohypoaldosteronisms, Type I|Pseudohypoaldosteronisms, Type II|Pseudohypoaldosteronism Type 1|Pseudohypoaldosteronism Type 1, Autosomal Dominant|Pseudohypoaldosteronism Type 1, Autosomal Recessive|Pseudohypoaldosteronism Type 1s|Pseudohypoaldosteronism Type 2|Pseudohypoaldosteronism Type 2s|Pseudohypoaldosteronism Type I|Pseudohypoaldosteronism, Type I|Pseudohypoaldosteronism, Type I, Autosomal Dominant|Pseudohypoaldosteronism, Type I, Autosomal Recessive|Pseudohypoaldosteronism Type II|Pseudohypoaldosteronism, Type II|PSEUDOHYPOALDOSTERONISM, TYPE IIA|Pseudohypoaldosteronism Type IIs|Pseudohypoaldosteronism Type Is|PSEUDOHYPOPARATHYROIDISM, TYPE IB|PSEUDOHYPOPARATHYROIDISM, TYPE IC|Syndrome, Gordon Hyperkalemia-Hypertension|Type 1, Pseudohypoaldosteronism|Type II Pseudohypoaldosteronism|Type II, Pseudohypoaldosteronism|Type II Pseudohypoaldosteronisms|Type IIs, Pseudohypoaldosteronism|Type I Pseudohypoaldosteronism|Type I, Pseudohypoaldosteronism|Type Is, Pseudohypoaldosteronism"
2263,MESH:D022861,Blood disease|Eye disease|Genetic disease (inborn)|Metabolic disease|Skin disease,Hermanski-Pudlak Syndrome,Hermanski Pudlak Syndrome|Hermansky Pudlak Syndrome|Hermansky-Pudlak Syndrome|HERMANSKY-PUDLAK SYNDROME 10|HERMANSKY-PUDLAK SYNDROME 3|HERMANSKY-PUDLAK SYNDROME 4|HERMANSKY-PUDLAK SYNDROME 5|HERMANSKY-PUDLAK SYNDROME 6|HERMANSKY-PUDLAK SYNDROME 7|HERMANSKY-PUDLAK SYNDROME 8|HERMANSKY-PUDLAK SYNDROME 9|HPS10|HPS3|HPS4|HPS5|HPS6|HPS7|HPS8|HPS9
2264,MESH:C563923,Eye disease|Genetic disease (inborn),"Corneal Dystrophy, Lattice Type IIIA","CDL3A|Lattice Corneal Dystrophy, Type IIIA"
2265,MESH:C564332,Congenital abnormality|Musculoskeletal disease,Craniolenticulosutural Dysplasia,Boyadjiev-Jabs Syndrome|CLSD
2266,MESH:C538261,Cardiovascular disease|Pathology (process),"Atrial fibrillation, familial 1","Atfb1|Atrial fibrillation, autosomal dominant|Atrial Fibrillation, Familial, 1|Autosomal dominant atrial fibrillation"
2267,MESH:D054975,Cancer|Congenital abnormality|Musculoskeletal disease|Nervous system disease,Pallister-Hall Syndrome,"CAVE Complex|CAVE Complices|Cerebroacrovisceral Early Lethality Complex|Complex, CAVE|Complices, CAVE|Hall Pallister Syndrome|Hall-Pallister Syndrome|Hamartoblastoma Syndrome, Hypothalamic|Hamartoblastoma Syndromes, Hypothalamic|Hypothalamic Hamartoblastoma, Hypopituitarism, Imperforate Anus, and Postaxial Polydactyly|Hypothalamic Hamartoblastoma Syndrome|Hypothalamic Hamartoblastoma Syndromes|Pallister Hall Syndrome|PHS|Syndrome, Hall-Pallister|Syndrome, Hypothalamic Hamartoblastoma|Syndrome, Pallister-Hall|Syndromes, Hypothalamic Hamartoblastoma"
2268,MESH:C566168,Cardiovascular disease,"Cardiomyopathy, Familial Restrictive, 1",RCM|RCM1
2269,MESH:D037801,Musculoskeletal disease,Hammer Toe Syndrome,"Clawtoe|Claw Toe|Clawtoes|Claw Toes|Hammer Toe|Hammer Toes|Hammertoe Syndrome|Mallet Toe|Mallet Toes|Toe, Claw|Toe, Hammer|Toe, Mallet|Toes, Claw|Toes, Hammer|Toes, Mallet"
2270,MESH:C567262,Congenital abnormality|Genetic disease (inborn)|Nervous system disease,"Spastic Paraplegia 42, Autosomal Dominant",SPG42
2271,MESH:C536240,Cancer|Digestive system disease|Skin disease,Blue rubber bleb nevus syndrome,Bean syndrome|Blue rubber bleb nevus
2272,MESH:C538154,Congenital abnormality|Musculoskeletal disease,"Syndactyly, type 3","Familial syndactyly type 3|Ring and little finger syndactyly|SDTY3|Syndactyly of fingers four and five|Syndactyly Of Fingers IV and V|Syndactyly of the ring and little finger|Syndactyly, Type III"
2273,MESH:D003528,Cancer,"Carcinoma, Adenoid Cystic","Adenocystic Carcinoma|Adenocystic Carcinomas|Adenoid Cystic Carcinoma|Adenoid Cystic Carcinomas|Carcinoma, Adenocystic|Carcinomas, Adenocystic|Carcinomas, Adenoid Cystic|Cylindroma|Cylindromas|Cystic Carcinoma, Adenoid|Cystic Carcinomas, Adenoid"
2274,MESH:D013182,Digestive system disease|Metabolic disease,"Sprue, Tropical",Idiopathic Tropical Malabsorption Syndrome|Tropical Sprue
2275,MESH:D003027,Nervous system disease,Cluster Headache,"Atypical Cluster Headache|Atypical Cluster Headaches|Cephalgia, Histamine|Cephalgias, Histamine|Chronic Cluster Headache|Chronic Cluster Headaches|Ciliary Neuralgia|Ciliary Neuralgias|Cluster Headache, Atypical|Cluster Headache, Chronic|Cluster Headache, Episodic|Cluster Headaches|Cluster Headaches, Atypical|Cluster Headaches, Chronic|Cluster Headaches, Episodic|Cluster Headache Syndrome|Cluster Headache Syndromes|Episodic Cluster Headache|Episodic Cluster Headaches|Headache, Atypical Cluster|Headache, Chronic Cluster|Headache, Cluster|Headache, Episodic Cluster|Headaches, Atypical Cluster|Headaches, Chronic Cluster|Headaches, Cluster|Headaches, Episodic Cluster|Headache Syndrome, Cluster|Headache Syndromes, Cluster|Histamine Cephalgia|Histamine Cephalgias|Horton's Syndrome|Hortons Syndrome|Horton Syndrome|Migraine, Neuralgic|Migraines, Neuralgic|Neuralgia, Ciliary|Neuralgias, Ciliary|Neuralgic Migraine|Neuralgic Migraines|Syndrome, Cluster Headache|Syndrome, Horton|Syndrome, Horton's|Syndromes, Cluster Headache"
2276,MESH:C538351,Musculoskeletal disease|Nervous system disease,Nemaline myopathy 4,"CAPM2, INCLUDED|CAP MYOPATHY 2, INCLUDED|Cap Myopathy, Tpm2-Related|NEM4|Nemaline myopathy caused by mutation in the tropomyosin 2 gene"
2277,OMIM:616364,Nervous system disease|Signs and symptoms,WHITE-SUTTON SYNDROME,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 37|MRD37|WHSUS"
2278,MESH:D000506,Skin disease,Alopecia Areata,Alopecia Circumscripta
2279,MESH:D055091,Congenital abnormality|Connective tissue disease|Musculoskeletal disease|Respiratory tract disease,Bronchomalacia,Bronchi Chondromalacia|Bronchi Chondromalacias|Bronchomalacias|Chondromalacia of Bronchi
2280,MESH:D041441,Eye disease,Retinoschisis,"Congenital X-Linked Retinoschisis|Degenerative Retinoschises|Degenerative Retinoschisis|Juvenile Retinoschises|Juvenile Retinoschises, X-Linked|Juvenile Retinoschisis|Juvenile Retinoschisis, X-Linked|Juvenile, Retinoschisis X-Linked|Juveniles, Retinoschisis X-Linked|Retinoschises|Retinoschises, Degenerative|Retinoschises, Juvenile|Retinoschises, X-Linked|Retinoschises, X-Linked Juvenile|RETINOSCHISIS 1, X-LINKED, JUVENILE|Retinoschisis, Degenerative|Retinoschisis, Juvenile|Retinoschisis, Juvenile, X Chromosome-Linked|Retinoschisis, Juvenile, X-Linked|Retinoschisis, X Linked|Retinoschisis, X-Linked|Retinoschisis X Linked Juvenile|Retinoschisis X-Linked Juvenile|Retinoschisis, X-Linked Juvenile|Retinoschisis X-Linked Juveniles|RS|RS1|X-Linked Juvenile Retinoschises|X Linked Juvenile Retinoschisis|X-Linked Juvenile Retinoschisis|X-Linked Juvenile, Retinoschisis|X-Linked Juveniles, Retinoschisis|X-Linked Retinoschises|X Linked Retinoschisis|X-Linked Retinoschisis|XLRS1"
2281,MESH:C537901,Congenital abnormality|Endocrine system disease|Mouth disease|Musculoskeletal disease|Skin disease,Bamforth syndrome,"Bamforth-Lazarus syndrome|Hypothyroidism, athyroidal, with spiky hair and cleft palate|Hypothyroidism cleft palate|HYPOTHYROIDISM, THYROIDAL OR ATHYROIDAL, WITH SPIKY HAIR AND CLEFT PALATE|Hypothyroidism, Thyroidal, With Spiky Hair And Cleft Palate"
2282,MESH:C563278,Nervous system disease|Signs and symptoms,"Episodic Ataxia, Type 1","AEM|AEMK|Ataxia, Episodic, with Myokymia|CONTINUOUS MUSCLE FIBER ACTIVITY, HEREDITARY, INCLUDED|EA1|EAM|Episodic Ataxia with Myokymia|ISAACS-MERTENS SYNDROME, INCLUDED|Myokymia 1 With Or Without Hypomagnesemia|MYOKYMIA 1 WITH OR WITHOUT HYPOMAGNESEMIA, INCLUDED|Myokymia with Periodic Ataxia|MYOKYMIA WITH PERIODIC ATAXIA MYOKYMIA 1, INCLUDED|Paroxysmal Ataxia with Neuromyotonia, Hereditary"
2283,MESH:C565210,Congenital abnormality|Genetic disease (inborn)|Nervous system disease,"Spastic Paraplegia 31, Autosomal Dominant",SPG31
2284,MESH:D005873,Digestive system disease|Parasitic disease,Giardiasis,"Giardia duodenalis Infection|Giardia duodenalis Infections|Giardia Infection|Giardia Infections|Giardia intestinalis Infection|Giardia intestinalis Infections|Giardia lamblia Infection|Giardia lamblia Infections|Giardiases|Infection, Giardia|Infection, Giardia duodenalis|Infection, Giardia intestinalis|Infection, Giardia lamblia|Infections, Giardia|Infections, Giardia duodenalis|Infections, Giardia intestinalis|Infections, Giardia lamblia|Lambliases|Lambliasis"
2285,MESH:D003103,Congenital abnormality|Eye disease,Coloboma,"COI|Coloboma, Ocular|COLOBOMA, OCULAR, AUTOSOMAL DOMINANT|COLOBOMA, OCULAR, AUTOSOMAL RECESSIVE|Coloboma Of Iris, Choroid, And Retina|Colobomas|Coloboma, Uveoretinal|Ocular Coloboma|Uveoretinal Coloboma"
2286,OMIM:614495,Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male),"PSEUDOHYPOALDOSTERONISM, TYPE IID",FAMILIAL HYPERKALEMIC HYPERTENSION|FHHT|PHA2D
2287,MESH:C565752,Cardiovascular disease,"Cardiomyopathy, Dilated, 1i",CMD1I
2288,MESH:C535944,Cancer|Digestive system disease|Genetic disease (inborn),"Desmoid disease, hereditary","Desmoid Tumor Caused By Somatic Mutation|Familial infiltrative fibromatosis|Fibromatosis, familial infiltrative|FIBROMATOSIS, FAMILIAL INFILTRATIVE;FIF  DESMOID TUMOR CAUSED BY SOMATIC MUTATION, INCLUDED"
2289,MESH:D009877,Bacterial infection or mycosis|Eye disease,Endophthalmitis,"Endophthalmitides|Endophthalmitides, Infectious|Endophthalmitis, Infectious|Infectious Endophthalmitides|Infectious Endophthalmitis|Ophthalmia|Ophthalmias"
2290,MESH:C536595,Mental disorder|Nervous system disease,Alzheimer disease type 2,"AD2|Alzheimer Disease 2|Alzheimer Disease 2, Late-Onset|Alzheimer Disease Associated With Apoe4|Alzheimer disease associated with APOE E4|Late onset familial Alzheimer disease"
2291,MESH:C564948,Congenital abnormality|Genetic disease (inborn)|Nervous system disease,"Neuropathy, Hereditary Sensory, with Spastic Paraplegia, Autosomal Recessive",None
2292,MESH:D001847,Musculoskeletal disease,Bone Diseases,"Bone Disease|Disease, Bone|Diseases, Bone"
2293,OMIM:300158,Congenital abnormality|Musculoskeletal disease,"ARTHROGRYPOSIS, CONGENITAL, LOWER LIMB, X-LINKED","ACLLX|AMCX5, FORMERLY|ARTHROGRYPOSIS, X-LINKED, TYPE V, FORMERLY"
2294,MESH:D019968,Mental disorder,Sexual and Gender Disorders,None
2295,MESH:C562901,Genetic disease (inborn)|Urogenital disease (female)|Urogenital disease (male),"Nephrolithiasis, X-Linked Recessive, with Renal Failure","Nephrolithiasis 1|Nephrolithiasis, X-Linked Recessive, Type 1|NPHL1|Urolithiasis, X-Linked Recessive, Type 1|XRN"
2296,OMIM:300857,Mental disorder|Metabolic disease|Nervous system disease,AMYOTROPHIC LATERAL SCLEROSIS 15 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA,ALS15
2297,MESH:C563310,Digestive system disease,Inflammatory Bowel Disease 2,IBD2
2298,MESH:D001932,Cancer|Nervous system disease,Brain Neoplasms,"Benign Brain Neoplasm|Benign Brain Neoplasms|Benign Neoplasm, Brain|Benign Neoplasms, Brain|Brain Benign Neoplasm|Brain Benign Neoplasms|Brain Cancer|Brain Cancers|Brain Malignant Neoplasm|Brain Malignant Neoplasms|Brain Neoplasm|Brain Neoplasm, Benign|Brain Neoplasm, Malignant|Brain Neoplasm, Primary|Brain Neoplasms, Benign|Brain Neoplasms, Malignant|Brain Neoplasms, Malignant, Primary|Brain Neoplasms, Primary|Brain Neoplasms, Primary Malignant|Brain Tumor|Brain Tumor, Primary|Brain Tumor, Recurrent|Brain Tumors|Brain Tumors, Primary|Brain Tumors, Recurrent|Cancer, Brain|Cancer of Brain|Cancer of the Brain|Cancers, Brain|Intracranial Neoplasm|Intracranial Neoplasms|Malignant Brain Neoplasm|Malignant Brain Neoplasms|Malignant Neoplasm, Brain|Malignant Neoplasms, Brain|Malignant Primary Brain Neoplasms|Malignant Primary Brain Tumors|Neoplasm, Brain|Neoplasm, Intracranial|Neoplasms, Brain|Neoplasms, Brain, Benign|Neoplasms, Brain, Malignant|Neoplasms, Brain, Primary|Neoplasms, Intracranial|Primary Brain Neoplasm|Primary Brain Neoplasms|Primary Brain Tumor|Primary Brain Tumors|Primary Malignant Brain Neoplasms|Primary Malignant Brain Tumors|Recurrent Brain Tumor|Recurrent Brain Tumors|Tumor, Brain|Tumors, Brain"
2299,MESH:D053559,Eye disease|Genetic disease (inborn),"Corneal Dystrophy, Juvenile Epithelial of Meesmann","Corneal Dystrophies, Meesmann|CORNEAL DYSTROPHY, JUVENILE EPITHELIAL, OF MEESMANN|Corneal Dystrophy, Meesmann|Corneal Dystrophy, Meesmann Epithelial|Dystrophies, Meesmann Corneal|Juvenile Hereditary Epithelial Dystrophy|MECD|Meesmann Corneal Dystrophies|Meesmann Corneal Dystrophy|Meesmann Corneal Epithelial Dystrophy|Meesmann Epithelial Corneal Dystrophy"
2300,MESH:D019956,Mental disorder,Stereotypic Movement Disorder,"Body Rocking|Head Banging|Movement Disorder, Stereotypic|Stereotypic Movement Disorders"
2301,MESH:C537418,Congenital abnormality|Mental disorder|Musculoskeletal disease|Nervous system disease|Signs and symptoms,Opitz trigonocephaly syndrome,Trigonocephaly syndrome
2302,MESH:D018497,Cardiovascular disease,"Ventricular Dysfunction, Right","Dysfunction, Right Ventricular|Dysfunctions, Right Ventricular|Right Ventricular Dysfunction|Right Ventricular Dysfunctions|Ventricular Dysfunctions, Right"
2303,OMIM:616479,Eye disease|Nervous system disease|Signs and symptoms,"PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL RECESSIVE 2","PEOB2|PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA, AUTOSOMAL RECESSIVE 2"
2304,MESH:C563865,Cardiovascular disease|Genetic disease (inborn),"Cardiomyopathy, Familial Hypertrophic, 10","Cardiomyopathy, Hypertrophic, Mid-Left Ventricular Chamber Type, 2|CMH10"
2305,OMIM:612379,Genetic disease (inborn)|Metabolic disease,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iq","CDG1Q|CDGIq|CDG Iq|COLOBOMA, OCULAR, WITH ICHTHYOSIS, BRAIN MALFORMATIONS, AND ENDOCRINE ABNORMALITIES"
2306,OMIM:602032,Congenital abnormality|Genetic disease (inborn)|Skin disease,"ECTODERMAL DYSPLASIA 4, HAIR/NAIL TYPE","ECTD4|ECTODERMAL DYSPLASIA, 'PURE' HAIR/NAIL TYPE"
2307,MESH:D013964,Cancer|Endocrine system disease,Thyroid Neoplasms,"Adenomas, Thyroid|Adenoma, Thyroid|Cancer of the Thyroid|Cancer of Thyroid|Cancers, Thyroid|Cancer, Thyroid|Carcinomas, Thyroid|Carcinoma, Thyroid|Neoplasms, Thyroid|Neoplasm, Thyroid|Thyroid Adenoma|Thyroid Adenomas|Thyroid Cancer|Thyroid Cancers|Thyroid Carcinoma|Thyroid Carcinomas|Thyroid Neoplasm"
